WC-1930,T-44,Mexico,P-04652,Rosas,Manuel,0,defender
WC-1930,T-44,Mexico,P-08940,Ruíz,José,0,forward
WC-1930,T-44,Mexico,P-02138,Sánchez,Alfredo Viejo,0,midfielder
WC-1930,T-44,Mexico,P-08328,Sota,Isidoro,0,goal keeper
WC-1930,T-53,Paraguay,P-00053,Aguirre,Francisco,0,midfielder
WC-1930,T-53,Paraguay,P-06873,Benítez,Pedro,0,goal keeper
WC-1930,T-53,Paraguay,P-02979,Benítez,Santiago,0,midfielder
WC-1930,T-53,Paraguay,P-07741,Benítez Cáceres,Delfín,0,forward
WC-1930,T-53,Paraguay,P-01868,Carreras,Saguier,0,forward
WC-1930,T-53,Paraguay,P-02697,Chamorro,Eustacio,0,defender
WC-1930,T-53,Paraguay,P-05445,Denis,Modesto,0,goal keeper
WC-1930,T-53,Paraguay,P-01854,Díaz,Eusebio,0,midfielder
WC-1930,T-53,Paraguay,P-09358,Domínguez,Diógenes,0,forward
WC-1930,T-53,Paraguay,P-09526,Etcheverry,Romildo,0,midfielder
WC-1930,T-53,Paraguay,P-04328,Florentín,Diego,0,midfielder
WC-1930,T-53,Paraguay,P-08310,Flores,Salvador,0,defender
WC-1930,T-53,Paraguay,P-06611,Garcete,Tranquilino,0,midfielder
WC-1930,T-53,Paraguay,P-08958,González,Aurelio,0,forward
WC-1930,T-53,Paraguay,P-09975,Miracca,José,0,defender
WC-1930,T-53,Paraguay,P-07866,Nessi,Lino,0,forward
WC-1930,T-53,Paraguay,P-01489,Olmedo,Quiterio,0,defender
WC-1930,T-53,Paraguay,P-07126,Ortega,Amadeo,0,forward
WC-1930,T-53,Paraguay,P-06387,Rivera,Bernabé,0,forward
WC-1930,T-53,Paraguay,P-05956,Romero,Gerardo,0,forward
WC-1930,T-53,Paraguay,P-06978,Vargas Peña,Luis,0,forward
WC-1930,T-53,Paraguay,P-06601,Villalba,Jacinto,0,forward
WC-1930,T-54,Peru,P-08033,Astengo,Eduardo,0,midfielder
WC-1930,T-54,Peru,P-09029,Cillóniz,Carlos,0,midfielder
WC-1930,T-54,Peru,P-03249,de las Casas,Mario,0,defender
WC-1930,T-54,Peru,P-09558,Denegri,Alberto,0,midfielder
WC-1930,T-54,Peru,P-09943,Fernández,Arturo,0,defender
WC-1930,T-54,Peru,P-03501,Galindo,Plácido,0,midfielder
WC-1930,T-54,Peru,P-00563,García,Domingo,0,midfielder
WC-1930,T-54,Peru,P-09089,Góngora,Jorge,0,forward
WC-1930,T-54,Peru,P-07519,Lavalle,José María,0,forward
WC-1930,T-54,Peru,P-02310,Lores,Julio,0,forward
WC-1930,T-54,Peru,P-06378,Maquilón,Antonio,0,defender
WC-1930,T-54,Peru,P-04490,Neyra,Demetrio,0,forward
WC-1930,T-54,Peru,P-05645,Pacheco,Pablo,0,forward
WC-1930,T-54,Peru,P-02154,Pardon,Jorge,0,goal keeper
WC-1930,T-54,Peru,P-07392,Quintana,Julio,0,midfielder
WC-1930,T-54,Peru,P-05609,Rodríguez Nue,Lizardo,0,forward
WC-1930,T-54,Peru,P-09625,Sarmiento,Jorge,0,forward
WC-1930,T-54,Peru,P-00957,Soria,Alberto,0,defender
WC-1930,T-54,Peru,P-00521,Souza Ferreira,Luis,0,forward
WC-1930,T-54,Peru,P-08098,Valdivieso,Juan,0,goal keeper
WC-1930,T-54,Peru,P-05138,Valle,Juan Alfonso,0,midfielder
WC-1930,T-54,Peru,P-02787,Villanueva,Alejandro,0,forward
WC-1930,T-58,Romania,P-01121,Barbu,Ştefan,0,forward
WC-1930,T-58,Romania,P-01959,Bürger,Rudolf,0,defender
WC-1930,T-58,Romania,P-05925,Czako,Iosif,0,defender
WC-1930,T-58,Romania,P-00978,Deşu,Adalbert,0,forward
WC-1930,T-58,Romania,P-05520,Eisenbeisser,Alfred,0,midfielder
WC-1930,T-58,Romania,P-02034,Kovács,Miklós,0,forward
WC-1930,T-58,Romania,P-04796,Lǎpuşneanu,Ion,0,goal keeper
WC-1930,T-58,Romania,P-07320,Raffinsky,László,0,midfielder
WC-1930,T-58,Romania,P-02337,Robe,Corneliu,0,midfielder
WC-1930,T-58,Romania,P-04102,Stanciu,Constantin,0,forward
WC-1930,T-58,Romania,P-03292,Steiner,Adalbert,0,defender
WC-1930,T-58,Romania,P-09559,Subăşeanu,Ilie,0,forward
WC-1930,T-58,Romania,P-08796,Vogl,Emerich,0,defender
WC-1930,T-58,Romania,P-06671,Wetzer,Rudolf,0,forward
WC-1930,T-58,Romania,P-01449,Zauber,Samuel,0,goal keeper
WC-1930,T-79,United States,P-03079,Auld,Andy,0,midfielder
WC-1930,T-79,United States,P-06512,Bookie,Mike,0,forward
WC-1930,T-79,United States,P-05896,Brown,Jim,0,forward
WC-1930,T-79,United States,P-02140,Douglas,Jimmy,0,goal keeper
WC-1930,T-79,United States,P-06672,Florie,Tom,0,forward
WC-1930,T-79,United States,P-09481,Gallagher,Jimmy,0,midfielder
WC-1930,T-79,United States,P-03532,Gentle,James,0,forward
WC-1930,T-79,United States,P-03512,Gonsalves,Billy,0,forward
WC-1930,T-79,United States,P-09935,McGhee,Bart,0,forward
WC-1930,T-79,United States,P-03968,Moorhouse,George,0,defender
WC-1930,T-79,United States,P-09954,Oliver,Arnie,0,forward
WC-1930,T-79,United States,P-09215,Patenaude,Bert,0,forward
WC-1930,T-79,United States,P-08340,Slone,Philip,0,midfielder
WC-1930,T-79,United States,P-05204,Tracey,Raphael,0,forward
WC-1930,T-79,United States,P-03782,Vaughn,Frank,0,defender
WC-1930,T-79,United States,P-03207,Wood,Alexander,0,defender
WC-1930,T-80,Uruguay,P-01536,Andrade,José Leandro,0,midfielder
WC-1930,T-80,Uruguay,P-08997,Anselmo,Peregrino,0,forward
WC-1930,T-80,Uruguay,P-01714,Ballesteros,Enrique,0,goal keeper
WC-1930,T-80,Uruguay,P-03169,Calvo,Juan Carlos,0,forward
WC-1930,T-80,Uruguay,P-05825,Capuccini,Miguel,0,goal keeper
WC-1930,T-80,Uruguay,P-00826,Castro,Héctor,0,forward
WC-1930,T-80,Uruguay,P-00724,Cea,Pedro,0,forward
WC-1930,T-80,Uruguay,P-00275,Dorado,Pablo,0,forward
WC-1930,T-80,Uruguay,P-04382,Fernández,Lorenzo,0,midfielder
WC-1930,T-80,Uruguay,P-01989,Gestido,Álvaro,0,midfielder
WC-1930,T-80,Uruguay,P-05989,Iriarte,Santos,0,forward
WC-1930,T-80,Uruguay,P-02545,Mascheroni,Ernesto,0,defender
WC-1930,T-80,Uruguay,P-06937,Melogno,Ángel,0,midfielder
WC-1930,T-80,Uruguay,P-08946,Nasazzi,José,0,defender
WC-1930,T-80,Uruguay,P-02038,Petrone,Pedro,0,forward
WC-1930,T-80,Uruguay,P-00926,Píriz,Conduelo,0,midfielder
WC-1930,T-80,Uruguay,P-06765,Recoba,Emilio,0,defender
WC-1930,T-80,Uruguay,P-09887,Riolfo,Carlos,0,midfielder
WC-1930,T-80,Uruguay,P-05923,Saldombide,Zoilo,0,forward
WC-1930,T-80,Uruguay,P-02775,Scarone,Héctor,0,forward
WC-1930,T-80,Uruguay,P-08074,Tejera,Domingo,0,defender
WC-1930,T-80,Uruguay,P-05171,Urdinarán,Santos,0,forward
WC-1930,T-83,Yugoslavia,P-02220,Arsenijević,Milorad,0,midfielder
WC-1930,T-83,Yugoslavia,P-06435,Bek,Ivan,0,forward
WC-1930,T-83,Yugoslavia,P-02466,Đokić,Momčilo,0,midfielder
WC-1930,T-83,Yugoslavia,P-04287,Hrnjiček,Branislav,0,midfielder
WC-1930,T-83,Yugoslavia,P-07824,Ivković,Milutin,0,defender
WC-1930,T-83,Yugoslavia,P-07940,Jakšić,Milovan,0,goal keeper
WC-1930,T-83,Yugoslavia,P-00296,Marjanović,Blagoje,0,forward
