269,Biathlon,Biathlon Men's 20 kilometres
270,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay
271,Freestyle Skiing,Freestyle Skiing Men's Moguls
273,Wrestling,"Wrestling Men's Middleweight A, Greco-Roman"
274,Athletics,Athletics Women's Discus Throw
275,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
276,Athletics,"Athletics Women's 1,500 metres"
277,Shooting,"Shooting Women's Air Pistol, 10 metres"
278,Shooting,"Shooting Women's Sporting Pistol, 25 metres"
279,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres"
280,Canoeing,"Canoeing Men's Kayak Singles, 500 metres"
281,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres"
282,Shooting,"Shooting Men's Running Target, 50 metres"
283,Judo,Judo Women's Half-Heavyweight
284,Athletics,Athletics Women's Pole Vault
285,Rugby Sevens,Rugby Sevens Women's Rugby Sevens
287,Table Tennis,Table Tennis Men's Team
288,Figure Skating,Figure Skating Mixed Pairs
289,Freestyle Skiing,Freestyle Skiing Men's Aerials
290,Rowing,Rowing Women's Coxed Eights
291,Athletics,Athletics Women's 4 x 400 metres Relay
292,Alpine Skiing,Alpine Skiing Women's Giant Slalom
293,Alpine Skiing,Alpine Skiing Women's Super G
294,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres
295,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres
296,Cross Country Skiing,Cross Country Skiing Women's 20 kilometres
297,Cycling,"Cycling Men's 1,000 metres Time Trial"
298,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres"
299,Wrestling,"Wrestling Men's Welterweight, Freestyle"
300,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman"
301,Rowing,Rowing Women's Lightweight Double Sculls
302,Athletics,Athletics Women's 800 metres
303,Rowing,Rowing Women's Coxed Quadruple Sculls
304,Biathlon,Biathlon Men's 12.5 kilometres Pursuit
305,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay
306,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual
307,Canoeing,"Canoeing Men's Kayak Singles, Slalom"
308,Archery,Archery Men's Individual
309,Archery,Archery Men's Team
310,Speed Skating,"Speed Skating Women's 1,500 metres"
311,Speed Skating,Speed Skating Women's Team Pursuit (6 laps)
312,Cross Country Skiing,Cross Country Skiing Men's Sprint
313,Athletics,Athletics Women's 400 metres
314,Figure Skating,Figure Skating Women's Singles
315,Speed Skating,"Speed Skating Men's 1,000 metres"
316,Trampolining,Trampolining Men's Individual
